Entry	Entry name	Protein names	Gene names	Organism	Length	Interacts with	Cross-reference (BioGrid)	Cross-reference (DIP)	Cross-reference (IntAct)	Cross-reference (MINT)	Cross-reference (STRING)	Caution	Miscellaneous [CC]
Q61527	ERBB4_MOUSE	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	Erbb4 Mer4	Mus musculus (Mouse)	1308	Q9NZC7		DIP-29887N;	Q61527;		10090.ENSMUSP00000114123;		
Q99JG2	ETBR2_MOUSE	Prosaposin receptor GPR37L1 (Endothelin B receptor-like protein 2) (ETBR-LP-2) (G-protein coupled receptor 37-like 1)	Gpr37l1 Etbrlp2	Mus musculus (Mouse)	481						10090.ENSMUSP00000027682;		
Q60629	EPHA5_MOUSE	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (CEK-7) (EPH homology kinase 1) (EHK-1)	Epha5 Bsk Ehk1	Mus musculus (Mouse)	876	P35546-2			Q60629;		10090.ENSMUSP00000060646;		
O09127	EPHA8_MOUSE	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (Tyrosine-protein kinase receptor EEK)	Epha8 Eek	Mus musculus (Mouse)	1004				O09127;	MINT-5312751;	10090.ENSMUSP00000030420;		
Q3UFD7	FFAR3_MOUSE	Free fatty acid receptor 3 (G-protein coupled receptor 41)	Ffar3 Gm478 Gpr41	Mus musculus (Mouse)	319						10090.ENSMUSP00000092163;		
Q03142	FGFR4_MOUSE	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (Protein-tyrosine kinase receptor MPK-11) (CD antigen CD334)	Fgfr4 Fgfr-4 Mpk-11	Mus musculus (Mouse)	799		199660;	DIP-58508N;			10090.ENSMUSP00000005452;		
Q8BKG4	FZD10_MOUSE	Frizzled-10 (Fz-10) (CD antigen CD350)	Fzd10 Fz10	Mus musculus (Mouse)	582		220362;				10090.ENSMUSP00000114114;		
Q9R216	FZD9_MOUSE	Frizzled-9 (Fz-9) (mFz3) (mFz9) (CD antigen CD349)	Fzd9 Fzd3	Mus musculus (Mouse)	592				Q9R216;		10090.ENSMUSP00000053551;	CAUTION: Has been first described as FZD3 in literature. {ECO:0000305}.	
Q61559	FCGRN_MOUSE	IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor)	Fcgrt Fcrn	Mus musculus (Mouse)	365				Q61559;	MINT-1870251;	10090.ENSMUSP00000003512;		
Q91V87	FGRL1_MOUSE	Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (Fibroblast growth factor receptor 5) (FGFR-5)	Fgfrl1 Fgfr5	Mus musculus (Mouse)	529		227959;				10090.ENSMUSP00000013633;		
O88537	FPRS3_MOUSE	Formyl peptide receptor-related sequence 3	Fpr-rs3	Mus musculus (Mouse)	343						10090.ENSMUSP00000071179;		
P20693	FCER2_MOUSE	Low affinity immunoglobulin epsilon Fc receptor (Fc-epsilon-RII) (Lymphocyte IgE receptor) (CD antigen CD23)	Fcer2 Fcer2a	Mus musculus (Mouse)	331						10090.ENSMUSP00000005678;		"MISCELLANEOUS: There are two kinds of Fc receptors for IgE, which differ in both structure and function: high affinity receptors on basophils and mast cells and low affinity receptors on lymphocytes and monocytes."
P26151	FCGR1_MOUSE	High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (CD antigen CD64)	Fcgr1 Fcg1	Mus musculus (Mouse)	404		199618;				10090.ENSMUSP00000029748;	CAUTION: It is uncertain whether Met-1 or Met-10 is the initiator. {ECO:0000305}.	
Q76JU9	FFAR1_MOUSE	Free fatty acid receptor 1 (G-protein coupled receptor 40)	Ffar1 Gpr40	Mus musculus (Mouse)	300						10090.ENSMUSP00000055564;		
Q8VCK6	FFAR2_MOUSE	Free fatty acid receptor 2 (G-protein coupled receptor 43) (Leukocyte-specific STAT-induced GPCR)	Ffar2 Gpr43 Lssig	Mus musculus (Mouse)	330						10090.ENSMUSP00000052600;		
P20489	FCERA_MOUSE	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	Fcer1a Fce1a	Mus musculus (Mouse)	250						10090.ENSMUSP00000056882;		
P08101	FCGR2_MOUSE	Low affinity immunoglobulin gamma Fc region receptor II (Fc gamma receptor IIB) (Fc-gamma RII) (Fc-gamma-RIIB) (FcRII) (IgG Fc receptor II beta) (Lymphocyte antigen 17) (Ly-17) (CD antigen CD32)	Fcgr2 Fcgr2b Ly-17	Mus musculus (Mouse)	330		199619;		P08101;		10090.ENSMUSP00000027966;		
P20490	FCERB_MOUSE	High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)	Ms4a2 Fce1b Fcer1b Ms4a1	Mus musculus (Mouse)	235		199615;				10090.ENSMUSP00000127373;		
P20491	FCERG_MOUSE	High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	Fcer1g Fce1g	Mus musculus (Mouse)	86	Q62120	199616;		P20491;		10090.ENSMUSP00000078875;		
Q8R4Y0	FCRL1_MOUSE	Fc receptor-like protein 1 (FcR-like protein 1) (FcRL1) (BXMAS1-like protein 1) (mBXMH1) (Fc receptor homolog 1) (FcRH1) (moFcRH1) (IFGP family protein 1) (mIFGP1) (CD antigen CD307a)	Fcrl1 Fcrh1 Ifgp1	Mus musculus (Mouse)	343								
Q9CQM2	ERD22_MOUSE	ER lumen protein-retaining receptor 2 (KDEL endoplasmic reticulum protein retention receptor 2) (KDEL receptor 2)	Kdelr2	Mus musculus (Mouse)	212						10090.ENSMUSP00000106359;		
P08508	FCGR3_MOUSE	Low affinity immunoglobulin gamma Fc region receptor III (IgG Fc receptor III) (Fc-gamma RIII) (FcRIII) (CD antigen CD16)	Fcgr3	Mus musculus (Mouse)	261						10090.ENSMUSP00000131938;		
Q68SN8	FCRL5_MOUSE	Fc receptor-like protein 5 (FcR-like protein 5) (FcRL5) (BXMAS1-like protein 2) (mBXMH2) (Fc receptor homolog 3) (FcRH3) (moFcRH3) (CD antigen CD307e)	Fcrl5 Fcrh3	Mus musculus (Mouse)	596			DIP-60955N;			10090.ENSMUSP00000050151;	CAUTION: It is uncertain whether Met-1 or Met-14 is the initiator. {ECO:0000305}.	
Q7TMA4	FFAR4_MOUSE	Free fatty acid receptor 4 (G-protein coupled receptor 120) (G-protein coupled receptor GT01) (Omega-3 fatty acid receptor 1)	Ffar4 Gpr120 O3far1	Mus musculus (Mouse)	361	Q91YI4			Q7TMA4;		10090.ENSMUSP00000063660;		
Q3SXG2	FPRS6_MOUSE	Formyl peptide receptor-related sequence 6	Fpr-rs6	Mus musculus (Mouse)	339						10090.ENSMUSP00000093296;		
Q2TB54	FCAMR_MOUSE	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor (Fc alpha/mu receptor) (mFcamR) (CD antigen CD351)	Fcamr	Mus musculus (Mouse)	535								
O08790	FPRS1_MOUSE	Formyl peptide receptor-related sequence 1 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor related sequence 1) (Formyl peptide receptor-like 1) (Lipoxin A4 receptor) (LXA4 receptor) (N-formyl peptide receptor 2) (N-formyl peptide receptor 3)	Fpr-s1 Fpr2 Fpr3 Fprl1 Lxa4r	Mus musculus (Mouse)	351						10090.ENSMUSP00000093316;		
Q71MR7	FPRS7_MOUSE	Formyl peptide receptor-related sequence 7	Fpr-rs7	Mus musculus (Mouse)	338						10090.ENSMUSP00000093297;		
Q61088	FZD4_MOUSE	Frizzled-4 (Fz-4) (mFz4) (CD antigen CD344)	Fzd4	Mus musculus (Mouse)	537	P0CG48	199777;	DIP-41623N;	Q61088;	MINT-1779328;	10090.ENSMUSP00000049852;		
Q61089	FZD6_MOUSE	Frizzled-6 (Fz-6) (mFz6)	Fzd6	Mus musculus (Mouse)	709				Q61089;		10090.ENSMUSP00000022906;		
Q61090	FZD7_MOUSE	Frizzled-7 (Fz-7) (mFz7)	Fzd7	Mus musculus (Mouse)	572	Q62108	199780;		Q61090;	MINT-1780171;	10090.ENSMUSP00000041825;		
Q61091	FZD8_MOUSE	Frizzled-8 (Fz-8) (mFz8)	Fzd8	Mus musculus (Mouse)	685	Q8BH60; O75581	199781;	DIP-41258N;	Q61091;	MINT-1782989;	10090.ENSMUSP00000039660;		
P50571	GBRB1_MOUSE	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1)	Gabrb1	Mus musculus (Mouse)	474		199802;				10090.ENSMUSP00000031122;		
Q00342	FLT3_MOUSE	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase 2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Tyrosine-protein kinase receptor flk-2) (CD antigen CD135)	Flt3 Flk-2 Flt-3	Mus musculus (Mouse)	1000		199707;			MINT-85239;	10090.ENSMUSP00000039041;		
B2RXV4	FLVC1_MOUSE	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (Major facilitator superfamily domain containing 7B) (Mfsd7b)	Flvcr1 Mfsd7b	Mus musculus (Mouse)	560						10090.ENSMUSP00000082777;		
A4FUQ5	FPRS4_MOUSE	Formyl peptide receptor-related sequence 4 (N-formylpeptide receptor-like 4)	Fpr-rs4	Mus musculus (Mouse)	323						10090.ENSMUSP00000093311;		
P56481	GASR_MOUSE	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	Cckbr	Mus musculus (Mouse)	453					MINT-1534414;	10090.ENSMUSP00000033189;		
P33766	FPR1_MOUSE	fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor)	Fpr1	Mus musculus (Mouse)	364					MINT-127948;	10090.ENSMUSP00000052894;		
O88536	FPR2_MOUSE	Formyl peptide receptor 2 (Formylpeptide receptor-related sequence 2) (Lipoxin A4 receptor-like protein) (N-formylpeptide receptor-like 2)	Fpr2 Fpr-rs2	Mus musculus (Mouse)	351						10090.ENSMUSP00000065799;		
O88853	GALR3_MOUSE	Galanin receptor type 3 (GAL3-R) (GALR-3)	Galr3 Galnr3	Mus musculus (Mouse)	370								
P63137	GBRB2_MOUSE	Gamma-aminobutyric acid receptor subunit beta-2 (GABA(A) receptor subunit beta-2)	Gabrb2 Gabrb-2	Mus musculus (Mouse)	512		199803;						
P63080	GBRB3_MOUSE	Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3)	Gabrb3 Gabrb-3	Mus musculus (Mouse)	473						10090.ENSMUSP00000038051;		
Q9EQD0	FZD5_MOUSE	Frizzled-5 (Fz-5) (mFz5)	Fzd5	Mus musculus (Mouse)	585	Q8BH60	199778;	DIP-41260N;	Q9EQD0;	MINT-1783095;	10090.ENSMUSP00000067783;		
O70421	FZD1_MOUSE	Frizzled-1 (Fz-1) (mFz1)	Fzd1	Mus musculus (Mouse)	642		199775;		O70421;	MINT-1779162;	10090.ENSMUSP00000058629;		
Q9JIP6	FZD2_MOUSE	Frizzled-2 (Fz-2) (mFz2) (Frizzled-10) (Fz-10) (mFz10)	Fzd2 Fzd10	Mus musculus (Mouse)	570				Q9JIP6;	MINT-1779244;	10090.ENSMUSP00000091463;		
Q61086	FZD3_MOUSE	Frizzled-3 (Fz-3) (mFz3)	Fzd3	Mus musculus (Mouse)	666		199776;			MINT-4997253;	10090.ENSMUSP00000115325;		
Q80T41	GABR2_MOUSE	Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51)	Gabbr2 Gm425 Gpr51	Mus musculus (Mouse)	940		232404;		Q80T41;		10090.ENSMUSP00000103378;		
Q8BHJ7	GBRA5_MOUSE	Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5)	Gabra5	Mus musculus (Mouse)	463	Q5WQV5			Q8BHJ7;	MINT-1789015;	10090.ENSMUSP00000063276;		
P32082	GHRHR_MOUSE	Growth hormone-releasing hormone receptor (GHRH receptor) (Growth hormone-releasing factor receptor) (GRF receptor) (GRFR)	Ghrhr Grfr	Mus musculus (Mouse)	423		199917;				10090.ENSMUSP00000068120;		
P35378	FSHR_MOUSE	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	Fshr	Mus musculus (Mouse)	692						10090.ENSMUSP00000040477;		
Q9WV18	GABR1_MOUSE	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	Gabbr1	Mus musculus (Mouse)	960		207643;		Q9WV18;		10090.ENSMUSP00000025338;		
O88854	GALR2_MOUSE	Galanin receptor type 2 (GAL2-R) (GALR-2)	Galr2 Galnr2	Mus musculus (Mouse)	371						10090.ENSMUSP00000054062;		
P16305	GBRA6_MOUSE	Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6)	Gabra6 Gabra-6	Mus musculus (Mouse)	453						10090.ENSMUSP00000126114;		
P56479	GALR1_MOUSE	Galanin receptor type 1 (GAL1-R) (GALR-1)	Galr1 Galnr Galnr1	Mus musculus (Mouse)	348						10090.ENSMUSP00000066381;		
P62812	GBRA1_MOUSE	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gabra1 Gabra-1	Mus musculus (Mouse)	455		199797;	DIP-32219N;	P62812;		10090.ENSMUSP00000020707;		
P26048	GBRA2_MOUSE	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2)	Gabra2 Gabra-2	Mus musculus (Mouse)	451						10090.ENSMUSP00000000572;		
P26049	GBRA3_MOUSE	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	Gabra3 Gabra-3	Mus musculus (Mouse)	492						10090.ENSMUSP00000062638;		
Q9D6F4	GBRA4_MOUSE	Gamma-aminobutyric acid receptor subunit alpha-4 (GABA(A) receptor subunit alpha-4)	Gabra4	Mus musculus (Mouse)	552						10090.ENSMUSP00000031121;		
P16882	GHR_MOUSE	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	Ghr	Mus musculus (Mouse)	650			DIP-441N;	P16882;	MINT-2738349;	10090.ENSMUSP00000069457;		
Q91XP5	GLRA3_MOUSE	Glycine receptor subunit alpha-3	Glra3	Mus musculus (Mouse)	464						10090.ENSMUSP00000000275;		MISCELLANEOUS: The alpha subunit binds strychnine. {ECO:0000250|UniProtKB:O75311}.
Q61606	GLR_MOUSE	Glucagon receptor (GL-R)	Gcgr	Mus musculus (Mouse)	485		199863;				10090.ENSMUSP00000026119;		
P70259	GP143_MOUSE	G-protein coupled receptor 143 (MOA1) (Ocular albinism type 1 protein homolog)	Gpr143 Oa1	Mus musculus (Mouse)	405						10090.ENSMUSP00000026383;		
Q8C419	GP158_MOUSE	Probable G-protein coupled receptor 158	Gpr158 Kiaa1136	Mus musculus (Mouse)	1200				Q8C419;		10090.ENSMUSP00000049708;		
Q80SS6	GPBAR_MOUSE	G-protein coupled bile acid receptor 1 (Membrane-type receptor for bile acids) (M-BAR)	Gpbar1 Tgr5	Mus musculus (Mouse)	329						10090.ENSMUSP00000077135;		
Q8BMP4	GPER1_MOUSE	G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (Membrane estrogen receptor) (mER)	Gper1 Cmkrl2 Gper Gpr30	Mus musculus (Mouse)	375						10090.ENSMUSP00000080370;		
Q61121	GPR19_MOUSE	Probable G-protein coupled receptor 19	Gpr19	Mus musculus (Mouse)	415								
O88416	GPR33_MOUSE	Probable G-protein coupled receptor 33	Gpr33	Mus musculus (Mouse)	339						10090.ENSMUSP00000048059;		
Q9R1K6	GPR34_MOUSE	Probable G-protein coupled receptor 34	Gpr34	Mus musculus (Mouse)	375						10090.ENSMUSP00000042715;		
Q80UC6	GPR62_MOUSE	Probable G-protein coupled receptor 62	Gpr62	Mus musculus (Mouse)	358						10090.ENSMUSP00000129055;		
Q01776	GNRHR_MOUSE	Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R)	Gnrhr	Mus musculus (Mouse)	327						10090.ENSMUSP00000031172;		
Q80T62	GP101_MOUSE	Probable G-protein coupled receptor 101	Gpr101 Gm365	Mus musculus (Mouse)	511						10090.ENSMUSP00000058183;		
Q7TQN9	GP142_MOUSE	Probable G-protein coupled receptor 142	Gpr142	Mus musculus (Mouse)	365						10090.ENSMUSP00000045029;		
Q7TSN6	GP151_MOUSE	Probable G-protein coupled receptor 151 protein (G-protein coupled receptor PGR7) (GPCR-2037)	Gpr151 Pgr7	Mus musculus (Mouse)	422				Q7TSN6;		10090.ENSMUSP00000058887;		
Q8K0Z9	GP153_MOUSE	Probable G-protein coupled receptor 153 (G-protein coupled receptor PGR1)	Gpr153 Pgr1	Mus musculus (Mouse)	631					MINT-4997733;	10090.ENSMUSP00000052742;		
Q8C206	GP157_MOUSE	Probable G-protein coupled receptor 157	Gpr157	Mus musculus (Mouse)	330						10090.ENSMUSP00000092020;		
Q99P50	GHSR_MOUSE	Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)	Ghsr	Mus musculus (Mouse)	364						10090.ENSMUSP00000061153;		
O35659	GLP1R_MOUSE	Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R)	Glp1r	Mus musculus (Mouse)	463						10090.ENSMUSP00000110221;		
Q5IXF8	GLP2R_MOUSE	Glucagon-like peptide 2 receptor (GLP-2 receptor) (GLP-2-R) (GLP-2R)	Glp2r	Mus musculus (Mouse)	512						10090.ENSMUSP00000061560;		
Q9Z282	GP132_MOUSE	Probable G-protein coupled receptor 132 (G2 accumulation protein)	Gpr132 G2a	Mus musculus (Mouse)	382						10090.ENSMUSP00000021729;		
Q99LE2	GP146_MOUSE	Probable G-protein coupled receptor 146	Gpr146	Mus musculus (Mouse)	333								
Q8BG55	GP171_MOUSE	Probable G-protein coupled receptor 171	Gpr171	Mus musculus (Mouse)	319						10090.ENSMUSP00000082115;		
Q923Z0	GPC5B_MOUSE	G-protein coupled receptor family C group 5 member B (Retinoic acid-induced gene 2 protein) (RAIG-2)	Gprc5b Raig2	Mus musculus (Mouse)	410						10090.ENSMUSP00000008878;		
Q0VDU3	GPR15_MOUSE	G-protein coupled receptor 15	Gpr15	Mus musculus (Mouse)	360						10090.ENSMUSP00000086731;		
O54897	GPR27_MOUSE	Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1)	Gpr27 Sreb1	Mus musculus (Mouse)	379						10090.ENSMUSP00000098680;		
P60894	GPR85_MOUSE	Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2)	Gpr85 Sreb2	Mus musculus (Mouse)	370		211078;			MINT-4996893;	10090.ENSMUSP00000053837;		
Q9EPB7	GPR88_MOUSE	Probable G-protein coupled receptor 88 (Striatum-specific G-protein coupled receptor)	Gpr88 Strg	Mus musculus (Mouse)	384						10090.ENSMUSP00000087959;		
Q6SJE0	GFRAL_MOUSE	GDNF family receptor alpha-like	Gfral Gral	Mus musculus (Mouse)	393						10090.ENSMUSP00000074421;		
Q7TNC8	GLRA2_MOUSE	Glycine receptor subunit alpha-2	Glra2	Mus musculus (Mouse)	452						10090.ENSMUSP00000060827;		MISCELLANEOUS: The alpha subunit binds strychnine. {ECO:0000250|UniProtKB:P23416}.
P48168	GLRB_MOUSE	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)	Glrb	Mus musculus (Mouse)	496	Q03555; Q8BUV3			P48168;	MINT-4787310;	10090.ENSMUSP00000029654;		
Q6F3F9	GP126_MOUSE	G-protein coupled receptor 126 (Developmentally regulated G-protein-coupled receptor)	Gpr126 Dreg Gm222	Mus musculus (Mouse)	1165						10090.ENSMUSP00000043055;		
Q3UVY1	GP149_MOUSE	Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10)	Gpr149 Pgr10	Mus musculus (Mouse)	732						10090.ENSMUSP00000060893;		
Q8BL07	GP150_MOUSE	Probable G-protein coupled receptor 150 (G-protein coupled receptor PGR11)	Gpr150 Pgr11	Mus musculus (Mouse)	427						10090.ENSMUSP00000049592;		
Q8BXS7	GP152_MOUSE	Probable G-protein coupled receptor 152	Gpr152	Mus musculus (Mouse)	511						10090.ENSMUSP00000094062;		
Q3UN16	GP162_MOUSE	Probable G-protein coupled receptor 162	Gpr162	Mus musculus (Mouse)	588								
Q7TQP3	GP119_MOUSE	Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)	Gpr119	Mus musculus (Mouse)	335						10090.ENSMUSP00000060591;		
Q7TQP2	GP135_MOUSE	Probable G-protein coupled receptor 135	Gpr135	Mus musculus (Mouse)	457						10090.ENSMUSP00000058762;		
Q80UC8	GP139_MOUSE	Probable G-protein coupled receptor 139 (G(q)-coupled orphan receptor GPRg1) (G-protein-coupled receptor PGR3)	Gpr139 Gm495 Gprg1 Pgr3	Mus musculus (Mouse)	345						10090.ENSMUSP00000081700;		
Q7TQP0	GP141_MOUSE	Probable G-protein coupled receptor 141 (G-protein coupled receptor PGR13)	Gpr141 Pgr13	Mus musculus (Mouse)	305								
Q6PCP7	GP156_MOUSE	Probable G-protein coupled receptor 156 (GABAB-related G-protein coupled receptor)	Gpr156 Gababl	Mus musculus (Mouse)	798						10090.ENSMUSP00000055958;		
Q9EQQ4	GPR45_MOUSE	Probable G-protein coupled receptor 45 (PSP24-1) (PSP24-alpha)	Gpr45	Mus musculus (Mouse)	373						10090.ENSMUSP00000110409;		
P97772	GRM1_MOUSE	Metabotropic glutamate receptor 1 (mGluR1)	Grm1 Gprc1a Mglur1	Mus musculus (Mouse)	1199		200073;		P97772;	MINT-4595385;	10090.ENSMUSP00000037255;		
Q14BI2	GRM2_MOUSE	Metabotropic glutamate receptor 2 (mGluR2)	Grm2 Gprc1b Mglur2	Mus musculus (Mouse)	872				Q14BI2;	MINT-6594401;	10090.ENSMUSP00000023959;		
Q68ED2	GRM7_MOUSE	Metabotropic glutamate receptor 7 (mGluR7)	Grm7 Gprc1g Mglur7	Mus musculus (Mouse)	915		223811;	DIP-32216N;	Q68ED2;	MINT-4997427;	10090.ENSMUSP00000133957;		
P21729	GRPR_MOUSE	Gastrin-releasing peptide receptor (GRP-R) (GRP-preferring bombesin receptor)	Grpr	Mus musculus (Mouse)	384	P42866-9			P21729;		10090.ENSMUSP00000033730;		
Q61603	GLRA4_MOUSE	Glycine receptor subunit alpha-4	Glra4	Mus musculus (Mouse)	456						10090.ENSMUSP00000018739;		MISCELLANEOUS: The alpha subunit binds strychnine. {ECO:0000269|PubMed:10762330}.
Q3U3F9	GP160_MOUSE	Probable G-protein coupled receptor 160	Gpr160	Mus musculus (Mouse)	336						10090.ENSMUSP00000045165;		
B2RPY5	GP161_MOUSE	G-protein coupled receptor 161	Gpr161 Gm208	Mus musculus (Mouse)	545						10090.ENSMUSP00000136621;		
P43142	GP182_MOUSE	G-protein coupled receptor 182 (G10D) (NOW)	Gpr182 Admr Gpcr22	Mus musculus (Mouse)	395						10090.ENSMUSP00000100882;		
Q8BYC4	GPR20_MOUSE	G-protein coupled receptor 20	Gpr20	Mus musculus (Mouse)	358						10090.ENSMUSP00000063910;		
Q9ES90	GPR35_MOUSE	G-protein coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor)	Gpr35	Mus musculus (Mouse)	307						10090.ENSMUSP00000027489;		
P0C5J4	GPR52_MOUSE	Probable G-protein coupled receptor 52	Gpr52	Mus musculus (Mouse)	361								
Q6X632	GPR75_MOUSE	Probable G-protein coupled receptor 75	Gpr75	Mus musculus (Mouse)	540						10090.ENSMUSP00000105057;		
Q99MT7	GPR87_MOUSE	G-protein coupled receptor 87	Gpr87	Mus musculus (Mouse)	358						10090.ENSMUSP00000059272;		
Q8VHN7	GPR98_MOUSE	G-protein coupled receptor 98 (Monogenic audiogenic seizure susceptibility protein 1) (Neurepin) (Very large G-protein coupled receptor 1)	Gpr98 Kiaa0686 Mass1 Vlgr1	Mus musculus (Mouse)	6298						10090.ENSMUSP00000093245;		
Q61625	GRID2_MOUSE	"Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)"	Grid2	Mus musculus (Mouse)	1007	Q9R171; Q8BH60	200062;		Q61625;	MINT-126960;	10090.ENSMUSP00000093536;		
P39087	GRIK2_MOUSE	"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Glutamate receptor beta-2) (GluR beta-2)"	Grik2 Glur6	Mus musculus (Mouse)	908		200064;		P39087;		10090.ENSMUSP00000101124;		"MISCELLANEOUS: The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists. This receptor binds domoate > kainate > quisqualate > 6-cyano-7-nitroquinoxaline-2,3-dione > L-glutamate = 6,7-dinitroquinoxaline-2,3-dione > dihydrokainate (By similarity). {ECO:0000250}."
Q8BMF5	GRIK4_MOUSE	"Glutamate receptor ionotropic, kainate 4 (GluK4)"	Grik4	Mus musculus (Mouse)	956		225773;				10090.ENSMUSP00000034515;		
Q6PI62	GP173_MOUSE	Probable G-protein coupled receptor 173 (Super conserved receptor expressed in brain 3)	Gpr173 Sreb3	Mus musculus (Mouse)	373						10090.ENSMUSP00000065533;		
Q8K4Z6	GPC6A_MOUSE	G-protein coupled receptor family C group 6 member A	Gprc6a	Mus musculus (Mouse)	928					MINT-4997775;	10090.ENSMUSP00000020062;		
Q6NS65	GPR17_MOUSE	Uracil nucleotide/cysteinyl leukotriene receptor (UDP/CysLT receptor) (G-protein coupled receptor 17)	Gpr17	Mus musculus (Mouse)	339			DIP-48915N;			10090.ENSMUSP00000063670;		
Q8K1Z6	GPR18_MOUSE	N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18)	Gpr18	Mus musculus (Mouse)	331						10090.ENSMUSP00000061410;		
Q8K087	GPR1_MOUSE	G-protein coupled receptor 1	Gpr1	Mus musculus (Mouse)	353						10090.ENSMUSP00000051417;		
Q9QY42	GPR37_MOUSE	Prosaposin receptor GPR37 (G-protein coupled receptor 37)	Gpr37	Mus musculus (Mouse)	600						10090.ENSMUSP00000052185;		
Q8BUD0	GPR4_MOUSE	G-protein coupled receptor 4	Gpr4	Mus musculus (Mouse)	365						10090.ENSMUSP00000061243;		
Q8BZR0	GPR82_MOUSE	Probable G-protein coupled receptor 82	Gpr82	Mus musculus (Mouse)	328						10090.ENSMUSP00000062535;		
P30731	GPR83_MOUSE	Probable G-protein coupled receptor 83 (Glucocorticoid-induced receptor)	Gpr83 Gir Gpr72	Mus musculus (Mouse)	423						10090.ENSMUSP00000034408;		
Q8CIM5	GPR84_MOUSE	G-protein coupled receptor 84	Gpr84	Mus musculus (Mouse)	396						10090.ENSMUSP00000078753;		
P0C191	GPVI_MOUSE	Platelet glycoprotein VI (GPVI) (Glycoprotein 5)	Gp6	Mus musculus (Mouse)	313						10090.ENSMUSP00000104231;		"MISCELLANEOUS: Mice deficient in GPVI show a complete protection against arterial thrombosis and induced pulmonary thromboembolism, without significant prolongation of bleeding time."
